income,family_members,housing,rent,cars,subscriptions,travel,properties,debt,income_source,region,case_id
8829,4,own,0,2,3,0,0,0,salary,مكة المكرمة,2024-001
9279,3,rent,10344,1,0,3,0,10158,pension,نجران,2024-002
14046,4,family,0,1,1,2,2,0,none,المدينة المنورة,2024-003
3414,5,family,0,3,0,1,1,273,salary,مكة المكرمة,2024-004
11563,3,rent,3239,0,1,0,2,522,none,الخبر,2024-005
4011,3,own,0,2,3,1,3,0,none,جازان,2024-006
1496,6,family,0,4,1,3,0,898,business,جدة,2024-007
9158,4,rent,6960,3,1,0,0,0,freelance,تبوك,2024-008
2902,4,own,0,3,3,0,0,0,none,أبها,2024-009
18933,5,own,0,4,2,2,0,1898,pension,مكة المكرمة,2024-010
11538,2,own,0,0,2,0,0,0,business,أبها,2024-011
6832,4,rent,1821,0,1,1,1,0,business,الطائف,2024-012
4019,6,family,0,1,0,1,0,0,freelance,الجبيل,2024-013
6087,3,gov,0,1,3,3,0,665,salary,الطائف,2024-014
3635,4,rent,5341,2,2,0,1,1117,pension,جدة,2024-015
1139,4,own,0,3,0,1,0,1648,business,مكة المكرمة,2024-016
3537,7,own,0,2,0,1,3,2324,none,الخبر,2024-017
8293,5,family,0,2,2,3,0,506,salary,الدمام,2024-018
6041,4,own,0,2,2,0,0,252,freelance,الجبيل,2024-019
22439,4,own,0,1,1,2,0,0,freelance,الرياض,2024-020
4761,2,rent,2386,3,0,0,1,616,freelance,الدمام,2024-021
2999,5,family,0,2,1,3,2,473,none,الجبيل,2024-022
6762,3,own,0,2,0,0,0,0,none,القصيم,2024-023
2727,5,rent,2293,1,0,1,0,0,none,المدينة المنورة,2024-024
11411,3,rent,3736,0,2,1,2,0,salary,حائل,2024-025
10106,3,rent,11471,1,1,0,0,870,freelance,أبها,2024-026
2625,3,rent,832,3,2,2,0,1782,business,أبها,2024-027
10396,2,family,0,2,1,1,1,0,pension,حائل,2024-028
2961,5,own,0,1,2,1,1,1650,business,نجران,2024-029
10653,4,rent,7130,2,2,1,0,7533,pension,المدينة المنورة,2024-030
3331,3,rent,741,1,1,1,0,798,freelance,الجبيل,2024-031
9882,3,rent,3425,2,1,1,0,0,pension,جازان,2024-032
4915,3,rent,2123,0,1,3,0,0,none,الخبر,2024-033
863,7,own,0,1,2,0,0,12236,none,مكة المكرمة,2024-034
3625,3,family,0,1,3,1,0,0,business,الجبيل,2024-035
7211,3,gov,0,3,1,3,1,448,business,المدينة المنورة,2024-036
5319,1,family,0,2,0,1,0,0,pension,الخبر,2024-037
3722,6,rent,1374,1,2,0,2,4162,none,نجران,2024-038
6486,4,rent,4391,2,3,1,0,616,none,مكة المكرمة,2024-039
1194,7,rent,3720,1,1,1,1,0,none,تبوك,2024-040
6122,3,rent,3316,2,1,0,0,3181,salary,القصيم,2024-041
1778,6,own,0,1,3,1,1,0,business,جدة,2024-042
1151,5,rent,630,1,2,1,0,661,salary,حائل,2024-043
5498,3,rent,7050,0,0,1,0,0,freelance,المدينة المنورة,2024-044
8913,6,rent,4695,1,1,1,2,5566,none,نجران,2024-045
5821,4,rent,2056,2,3,2,0,2713,freelance,نجران,2024-046
1512,6,gov,0,2,1,2,0,850,salary,حائل,2024-047
6514,3,rent,2215,2,0,0,0,2690,freelance,جازان,2024-048
11248,6,rent,2452,1,0,0,0,10626,pension,الطائف,2024-049
5263,3,rent,4406,2,0,3,1,0,business,القصيم,2024-050
24228,5,rent,19372,1,3,1,0,2188,business,الدمام,2024-051
4362,5,rent,1160,2,1,0,0,2871,none,جازان,2024-052
3518,5,rent,5448,1,1,1,0,358,business,تبوك,2024-053
23049,2,rent,10407,2,3,0,1,0,pension,جدة,2024-054
4227,4,rent,5161,1,0,1,1,2386,salary,الجبيل,2024-055
5039,4,rent,2183,3,1,0,0,801,none,حائل,2024-056
1618,4,rent,491,2,0,2,0,2526,freelance,الخبر,2024-057
1547,5,rent,3951,2,2,2,2,0,pension,الطائف,2024-058
4339,4,own,0,2,3,1,0,4949,business,أبها,2024-059
19674,7,rent,20336,3,2,3,2,0,none,الطائف,2024-060
10044,4,rent,5324,1,2,1,0,0,freelance,الرياض,2024-061
15847,4,rent,16976,1,3,2,1,0,salary,أبها,2024-062
4146,7,rent,2070,0,2,1,0,0,pension,أبها,2024-063
2314,4,rent,1100,1,2,1,2,992,salary,المدينة المنورة,2024-064
8430,3,gov,0,0,0,2,0,4604,business,الطائف,2024-065
10902,6,rent,7968,4,0,2,1,1125,none,حائل,2024-066
4817,3,rent,5275,1,2,1,3,664,none,الطائف,2024-067
1112,5,family,0,1,3,1,0,0,salary,جازان,2024-068
2703,4,own,0,2,2,1,1,0,none,جازان,2024-069
3211,4,family,0,1,1,0,2,0,none,مكة المكرمة,2024-070
11561,3,family,0,2,2,0,1,0,none,الدمام,2024-071
7252,3,rent,8311,1,0,1,2,0,pension,جازان,2024-072
4737,4,own,0,1,2,0,0,698,salary,الرياض,2024-073
3225,4,rent,3706,2,1,0,0,2829,business,مكة المكرمة,2024-074
6303,4,rent,2274,0,1,1,1,1043,pension,الدمام,2024-075
6768,3,rent,7860,2,1,1,0,372,pension,جدة,2024-076
9863,5,rent,2788,1,0,1,1,10289,pension,ينبع,2024-077
11625,3,family,0,2,3,1,0,0,pension,الرياض,2024-078
1635,4,rent,1336,3,2,1,1,1922,freelance,نجران,2024-079
5054,5,rent,2748,0,2,0,3,0,business,ينبع,2024-080
6233,3,rent,1796,3,3,1,0,1636,freelance,الطائف,2024-081
7695,5,own,0,2,1,0,2,739,none,تبوك,2024-082
4400,2,own,0,1,0,2,1,739,freelance,الخبر,2024-083
8330,4,own,0,2,2,0,0,443,pension,المدينة المنورة,2024-084
4268,3,own,0,4,3,1,0,0,none,نجران,2024-085
10937,3,family,0,1,2,3,1,1302,business,جدة,2024-086
2811,4,family,0,2,0,3,0,0,business,الدمام,2024-087
